date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:06:14	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jan%202019%2016:06:07%20GMT	https://us.pycon.org/2018/events/speed_networking	E:/pyconf/pyconf/us.pycon.org/2018/events/speed_networking	(from https://us.pycon.org/2018/)
00:06:14	19265/19265	---M--	200	added ('OK')	text/html	etag:%225b44d97d-4b41%22	https://us.pycon.org/2018/events/open-spaces/	E:/pyconf/pyconf/us.pycon.org/2018/events/open-spaces/index.html	(from https://us.pycon.org/2018/)
00:06:14	13202/13202	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3392%22	https://us.pycon.org/2018/5k/	E:/pyconf/pyconf/us.pycon.org/2018/5k/index.html	(from https://us.pycon.org/2018/)
00:06:14	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jan%202019%2016:06:08%20GMT	https://us.pycon.org/2018/events/newcomer_orientation	E:/pyconf/pyconf/us.pycon.org/2018/events/newcomer_orientation	(from https://us.pycon.org/2018/)
00:06:14	15641/15641	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3d19%22	https://us.pycon.org/2018/events/auction/	E:/pyconf/pyconf/us.pycon.org/2018/events/auction/index.html	(from https://us.pycon.org/2018/)
00:06:15	39306/39306	---M--	200	added ('OK')	text/html	etag:%225b44d97d-998a%22	https://us.pycon.org/2018/community/sprints/	E:/pyconf/pyconf/us.pycon.org/2018/community/sprints/index.html	(from https://us.pycon.org/2018/)
00:06:15	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jan%202019%2016:06:08%20GMT	https://us.pycon.org/2018/onsite	E:/pyconf/pyconf/us.pycon.org/2018/onsite	(from https://us.pycon.org/2018/)
00:06:15	14087/14087	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3707%22	https://us.pycon.org/2018/events/language-summit/	E:/pyconf/pyconf/us.pycon.org/2018/events/language-summit/index.html	(from https://us.pycon.org/2018/)
00:06:15	15980/15980	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3e6c%22	https://us.pycon.org/2018/events/letslearnpython/	E:/pyconf/pyconf/us.pycon.org/2018/events/letslearnpython/index.html	(from https://us.pycon.org/2018/)
00:06:15	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jan%202019%2016:06:09%20GMT	https://us.pycon.org/2018/registration/register	E:/pyconf/pyconf/us.pycon.org/2018/registration/register	(from https://us.pycon.org/2018/)
00:06:15	13607/13607	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3527%22	https://us.pycon.org/2018/events/pyladieslunch/	E:/pyconf/pyconf/us.pycon.org/2018/events/pyladieslunch/index.html	(from https://us.pycon.org/2018/)
00:06:16	18139/18139	---M--	200	added ('OK')	text/html	etag:%225b44d97d-46db%22	https://us.pycon.org/2018/hatchery/charlas/	E:/pyconf/pyconf/us.pycon.org/2018/hatchery/charlas/index.html	(from https://us.pycon.org/2018/)
00:06:16	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jan%202019%2016:06:09%20GMT	https://us.pycon.org/2018/about/volunteers	E:/pyconf/pyconf/us.pycon.org/2018/about/volunteers	(from https://us.pycon.org/2018/)
00:06:16	13389/13389	---M--	200	added ('OK')	text/html	etag:%225b44d97d-344d%22	https://us.pycon.org/2018/events/speed_networking/	E:/pyconf/pyconf/us.pycon.org/2018/events/speed_networking/index.html	(from https://us.pycon.org/2018/)
00:06:16	14292/14292	---M--	200	added ('OK')	text/html	etag:%225b44d97d-37d4%22	https://us.pycon.org/2018/events/lightning/talks/	E:/pyconf/pyconf/us.pycon.org/2018/events/lightning/talks/index.html	(from https://us.pycon.org/2018/)
00:06:17	68941/68941	---M--	200	added ('OK')	image/jpeg	etag:%225b44d97d-10d4d%22	https://us.pycon.org/2018/site_media/static/img/tutorial-photo.e4fab76a2c8d.jpg	E:/pyconf/pyconf/us.pycon.org/2018/site_media/static/img/tutorial-photo.e4fab76a2c8d.jpg	(from https://us.pycon.org/2018/)
00:06:17	130513/130513	---M--	200	added ('OK')	text/html	etag:%225b44d97e-1fdd1%22	https://us.pycon.org/2018/sponsors/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/index.html	(from https://us.pycon.org/2018/)
00:06:17	12954/12954	---M--	200	added ('OK')	text/html	etag:%225b44d97d-329a%22	https://us.pycon.org/2018/events/newcomer_orientation/	E:/pyconf/pyconf/us.pycon.org/2018/events/newcomer_orientation/index.html	(from https://us.pycon.org/2018/)
00:06:17	17295/17295	---M--	200	added ('OK')	text/html	etag:%225b44d97e-438f%22	https://us.pycon.org/2018/sponsors/why-sponsor/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/why-sponsor/index.html	(from https://us.pycon.org/2018/)
00:06:19	31851/31851	---M--	200	added ('OK')	text/html	etag:%225b44d97e-7c6b%22	https://us.pycon.org/2018/sponsors/prospectus/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/prospectus/index.html	(from https://us.pycon.org/2018/)
00:06:19	60498/60498	---M--	200	added ('OK')	image/jpeg	etag:%225b44d97d-ec52%22	https://us.pycon.org/2018/site_media/static/img/talks-photo.3ab308f3ecaf.jpg	E:/pyconf/pyconf/us.pycon.org/2018/site_media/static/img/talks-photo.3ab308f3ecaf.jpg	(from https://us.pycon.org/2018/)
00:06:19	14469/14469	---M--	200	added ('OK')	text/html	etag:%225b44d97e-3885%22	https://us.pycon.org/2018/sponsors/fees/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/fees/index.html	(from https://us.pycon.org/2018/)
00:06:19	881/881	---M--	200	added ('OK')	text/html	etag:%225b44d97e-371%22	https://us.pycon.org/2018/sponsors/apply/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/apply/index.html	(from https://us.pycon.org/2018/)
00:06:19	23717/23717	---M--	200	added ('OK')	text/html	etag:%225b44d97e-5ca5%22	https://us.pycon.org/2018/sponsors/faq/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/faq/index.html	(from https://us.pycon.org/2018/)
00:06:20	15407/15407	---M--	200	added ('OK')	text/html	etag:%225b44d97e-3c2f%22	https://us.pycon.org/2018/sponsors/exhibit-hall/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/exhibit-hall/index.html	(from https://us.pycon.org/2018/)
00:06:20	25913/25913	---M--	200	added ('OK')	text/html	etag:%225b44d97e-6539%22	https://us.pycon.org/2018/sponsors/information/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/information/index.html	(from https://us.pycon.org/2018/)
00:06:21	77808/77808	---M--	200	added ('OK')	image/jpeg	etag:%225b44d97d-12ff0%22	https://us.pycon.org/2018/site_media/static/img/sprints-photo.b036d4de98c1.jpg	E:/pyconf/pyconf/us.pycon.org/2018/site_media/static/img/sprints-photo.b036d4de98c1.jpg	(from https://us.pycon.org/2018/)
00:06:21	14986/14986	---M--	200	added ('OK')	text/html	etag:%225b44d97e-3a8a%22	https://us.pycon.org/2018/venue/travel/	E:/pyconf/pyconf/us.pycon.org/2018/venue/travel/index.html	(from https://us.pycon.org/2018/)
00:06:21	16598/16598	---M--	200	added ('OK')	text/html	etag:%225b44d97e-40d6%22	https://us.pycon.org/2018/venue/	E:/pyconf/pyconf/us.pycon.org/2018/venue/index.html	(from https://us.pycon.org/2018/)
00:06:21	12942/12942	---M--	200	added ('OK')	text/html	etag:%225b44d97e-328e%22	https://us.pycon.org/2018/venue/weather/	E:/pyconf/pyconf/us.pycon.org/2018/venue/weather/index.html	(from https://us.pycon.org/2018/)
00:06:21	16390/16390	---M--	200	added ('OK')	text/html	etag:%225b44d97e-4006%22	https://us.pycon.org/2018/venue/accessibility/	E:/pyconf/pyconf/us.pycon.org/2018/venue/accessibility/index.html	(from https://us.pycon.org/2018/)
00:06:21	15595/15595	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3ceb%22	https://us.pycon.org/2018/childcare/	E:/pyconf/pyconf/us.pycon.org/2018/childcare/index.html	(from https://us.pycon.org/2018/)
00:06:21	11842/11842	---M--	200	added ('OK')	image/png	etag:%225b44d97d-2e42%22	https://us.pycon.org/2018/site_media/static/img/PNG/tutorials-icon.52a162b4d76e.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/static/img/PNG/tutorials-icon.52a162b4d76e.png	(from https://us.pycon.org/2018/)
00:06:22	19557/19557	---M--	200	added ('OK')	text/html	etag:%225b44d97e-4c65%22	https://us.pycon.org/2018/venue/recommendations/	E:/pyconf/pyconf/us.pycon.org/2018/venue/recommendations/index.html	(from https://us.pycon.org/2018/)
00:06:22	9429/9429	---M--	200	added ('OK')	image/png	etag:%225b44d97d-24d5%22	https://us.pycon.org/2018/site_media/static/img/PNG/conference-icon.b3147c0843a2.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/static/img/PNG/conference-icon.b3147c0843a2.png	(from https://us.pycon.org/2018/)
00:06:22	19162/19162	---M--	200	added ('OK')	text/html	etag:%225b44d97e-4ada%22	https://us.pycon.org/2018/venue/cle_events/	E:/pyconf/pyconf/us.pycon.org/2018/venue/cle_events/index.html	(from https://us.pycon.org/2018/)
00:06:22	13935/13935	---M--	200	added ('OK')	text/html	etag:%225b44d97d-366f%22	https://us.pycon.org/2018/onsite/	E:/pyconf/pyconf/us.pycon.org/2018/onsite/index.html	(from https://us.pycon.org/2018/)
00:06:22	15346/15346	---M--	200	added ('OK')	text/html	etag:%225b44d97e-3bf2%22	https://us.pycon.org/2018/venue/transit/	E:/pyconf/pyconf/us.pycon.org/2018/venue/transit/index.html	(from https://us.pycon.org/2018/)
00:06:23	11636/11636	---M--	200	added ('OK')	image/png	etag:%225b44d97d-2d74%22	https://us.pycon.org/2018/site_media/static/img/PNG/sprints-icon.42b9f645d48c.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/static/img/PNG/sprints-icon.42b9f645d48c.png	(from https://us.pycon.org/2018/)
00:06:23	23092/23092	---M--	200	added ('OK')	text/html	etag:%225bda228b-5a34%22	https://us.pycon.org/2018/registration/	E:/pyconf/pyconf/us.pycon.org/2018/registration/index.html	(from https://us.pycon.org/2018/)
00:06:23	9715/9715	---M--	200	added ('OK')	image/jpeg	etag:%225b44d97d-25f3%22	https://us.pycon.org/2018/site_media/media/sponsor_files/microsoft-logo.png.300x300_q85.jpg	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/microsoft-logo.png.300x300_q85.jpg	(from https://us.pycon.org/2018/)
00:06:23	12202/12202	---M--	200	added ('OK')	text/html	etag:%225bda228b-2faa%22	https://us.pycon.org/2018/registration/register/	E:/pyconf/pyconf/us.pycon.org/2018/registration/register/index.html	(from https://us.pycon.org/2018/)
00:06:23	16291/16291	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3fa3%22	https://us.pycon.org/2018/financial-assistance/	E:/pyconf/pyconf/us.pycon.org/2018/financial-assistance/index.html	(from https://us.pycon.org/2018/)
00:06:24	20260/20260	---M--	200	added ('OK')	image/png	etag:%225b44d97d-4f24%22	https://us.pycon.org/2018/site_media/media/sponsor_files/googlelogo_color_836x272dp.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/googlelogo_color_836x272dp.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:24	12645/12645	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3165%22	https://us.pycon.org/2018/community/roomsharing/	E:/pyconf/pyconf/us.pycon.org/2018/community/roomsharing/index.html	(from https://us.pycon.org/2018/)
00:06:24	13782/13782	---M--	200	added ('OK')	image/png	etag:%225b44d97d-35d6%22	https://us.pycon.org/2018/site_media/media/sponsor_files/aws_logo_smile_1200x630.png.300x300_q85.png	E:/pyconf/pyconf/us.pycon.org/2018/site_media/media/sponsor_files/aws_logo_smile_1200x630.png.300x300_q85.png	(from https://us.pycon.org/2018/)
00:06:24	24176/24176	---M--	200	added ('OK')	text/html	etag:%225b44d97d-5e70%22	https://us.pycon.org/2018/about/volunteers/	E:/pyconf/pyconf/us.pycon.org/2018/about/volunteers/index.html	(from https://us.pycon.org/2018/)
